k,q,cr,psnr,ssim,avg_rank
8,0.7,1.78952542187756,28.838815383474703,0.8240645011869568,1.0224609375
8,0.85,1.6696804191016066,29.011291244461294,0.8308059561714255,1.09796142578125
8,0.9,1.5598145911306014,29.3368295278227,0.8386087322273403,1.1773681640625
8,0.95,1.3611965718766146,30.303311567807768,0.8547877658912766,1.35345458984375
8,0.99,0.9621146085849086,33.53696933484188,0.8962095332043987,1.92706298828125
16,0.7,3.650573047946636,25.65422986695936,0.7060518861381155,1.04736328125
16,0.85,3.1831941956831913,25.98240465882472,0.7225253301566905,1.203369140625
16,0.9,2.836012722591254,26.437916543169738,0.7370952925002401,1.3525390625
16,0.95,2.268653099726959,27.558721782438337,0.7674498335071351,1.694580078125
16,0.99,1.3310518164969916,31.492916399631117,0.850613832352481,2.89892578125
32,0.7,7.353577289367014,23.069769216463577,0.602111679402876,1.0634765625
32,0.85,5.922685885994442,23.55153097210699,0.6253815301203081,1.322265625
32,0.9,4.985527091534965,24.130897338639848,0.6459234643554275,1.572265625
32,0.95,3.555049261918808,25.537966962455037,0.6911505066381085,2.2080078125
32,0.99,1.6942192291659262,30.078700474943805,0.8161393166714012,4.6416015625
